aRef,first,firstCount,second,secondCount
25663822,30519565,2,25177633,1
25663877,,,,
25663891,30507005,3,30517394,3
25663907,25672213,7,30517363,6
25663990,30517325,8,25672206,8
25664003,25636246,2,30265721,1
25664027,30473850,3,25669602,2
25664065,25664072,5,30519527,4
25664072,30265431,5,25664065,5
25664096,25672213,4,30473850,4
25664119,25672206,10,25667202,8
25664126,30476752,5,25241358,5
25664164,,,,
25664201,,,,
25664270,25664287,53,30397873,29
25664287,25664270,53,30398542,31
25664294,30516045,20,25670080,20
25664300,30397972,3,30520356,2
25664348,,,,
25664379,,,,
25664409,,,,
25664522,25389906,18,25389890,15
25664539,30293465,1,30373839,1
25664546,30518797,7,30473003,7
25664553,25634716,20,25664638,18
25664584,25661439,6,30293588,6
25664591,25657036,6,25390261,5
25664607,30518896,11,25389890,5
25664614,30373839,16,30518797,16
25664638,25664645,21,30519701,19
25664645,25664638,21,24877091,14
25664713,30518810,10,30293557,6
25664720,30518841,10,25290004,5
25664737,30473157,1,30293649,1
25664744,25665345,7,30518988,3
25664751,30518988,12,30293731,11
25664768,,,,
25664775,25665130,5,30518964,3
25664782,,,,
25664812,,,,
25664836,30519497,1,30293632,1
25664867,25670547,1,30293656,1
25664874,25665383,16,30293656,11
25664904,25666113,20,25634563,15
25664911,25664928,1,,
25664928,30293632,13,30379978,7
25664959,,,,
25664966,25390148,2,30400337,2
25665017,30471153,7,30471146,6
25665024,25666854,1,30564312,1
25665031,30471108,6,25665017,6
25665093,30508156,1,30519114,1
25665123,30519657,1,30373907,1
25665130,25665154,10,30293748,9
25665147,25670318,9,25663754,5
25665154,25665130,10,30518988,5
25665161,25442519,10,25636338,4
25665192,25664270,5,25670226,5
25665277,30471139,5,30472730,5
25665284,30471146,6,30516205,5
25665345,30293748,23,30398542,18
25665352,30518988,15,30293687,10
25665369,30293687,5,25263220,4
25665376,30293656,15,30293625,12
25665383,25664874,16,30293656,13
25665406,30473126,4,30293854,4
25665413,30518810,4,30379916,2
25665420,30293762,6,25666502,4
25665437,30293762,18,30510630,5
25665468,30380103,8,30379916,4
25665499,30516267,23,30519565,19
25665505,25665512,25,30516151,9
25665512,30520684,30,25665505,25
25665529,30398092,33,30519541,30
25665536,30518810,15,30293571,12
25665567,30472945,26,30472891,10
25665581,30518926,11,25389906,10
25665598,25665536,8,30293571,6
25665789,24250153,1,,
25665918,,,,
25665956,,,,
25666007,,,,
25666045,,,,
25666106,30400436,1,25668469,1
25666113,25664904,20,25381672,13
25666120,30397873,50,30516045,35
25666144,30519350,9,30265226,5
25666151,25657067,3,30519374,3
25666182,30397873,8,30516045,7
25666199,25381658,39,30265110,29
25666205,30477148,1,,
25666212,25667783,1,30472570,1
25666236,,,,
25666243,,,,
25666403,25634334,10,30519169,9
25666410,25634280,6,30519169,4
25666434,30400368,10,30515178,6
25666441,25390193,5,30515109,5
25666465,30400030,7,30506923,4
25666489,,,,
25666496,30400504,1,30512115,1
25666502,30519114,11,30379916,8
25666519,,,,
25666526,,,,
25666533,,,,
25666540,,,,
25666571,30519374,11,30518988,10
25666588,25666571,8,30379992,5
25666595,30398542,1,25665468,1
25666601,25439489,1,,
25666687,30546981,1,30293694,1
25666694,25666724,11,25391381,6
25666700,30515468,13,25658347,9
25666717,25666724,8,30403871,6
25666731,25656930,2,30403871,1
25666748,25634570,1,,
25666793,30400399,7,30400429,5
25666809,30265370,13,30519503,9
25666823,30519503,5,30400030,4
25666830,25666854,18,25666847,12
25666847,30519237,13,25666830,12
25666854,30519138,24,25666830,18
25666861,30524408,1,30549906,1
25666885,25672596,10,30398016,6
25666908,30520219,16,30373761,9
25666915,25666908,5,30472747,3
25666922,25666939,15,30294363,4
25666939,25666922,15,30472761,5
25666953,30377165,4,30476745,3
25666960,30519725,1,30508538,1
25667004,25138597,4,25667035,3
25667028,25138658,9,25633894,5
25667035,25138603,7,25138597,5
25667042,30473188,7,30566774,5
25667080,,,,
25667097,,,,
25667103,,,,
25667196,25667202,35,30519527,20
25667202,25667196,35,30506923,19
25667219,30506923,15,30265370,10
25667226,30470903,11,30507005,8
25667257,30507005,4,30506947,4
25667295,30476745,2,30520370,2
25667318,,,,
25667349,25667400,5,25636284,2
25667356,25668537,2,30506947,1
25667400,30519046,10,30522176,6
25667424,30398382,1,30265790,1
25667455,30398351,4,30519077,3
25667615,,,,
25667660,30398290,6,30400047,2
25667691,25666267,3,25670127,2
25667752,25663662,1,24811699,1
25667837,30508156,1,,
25667905,,,,
25667998,30519077,1,30380103,1
25668001,30518896,1,25665468,1
25668025,30518810,10,30508149,6
25668070,30519701,2,25061123,2
25668094,,,,
25668100,24863995,5,30518797,3
25668117,25664546,4,30519091,3
25668131,,,,
25668148,,,,
25668155,25389890,4,25389951,4
25668162,30473218,1,30293571,1
25668193,30518872,8,30293557,7
25668230,30472730,5,30380103,3
25668254,30508521,7,25668261,4
25668261,25668254,4,30519145,2
25668278,25669244,1,30403741,1
25668308,30519183,1,25635935,1
25668339,30508163,7,30293809,5
25668346,25672589,3,30519190,3
25668353,30397934,3,30512368,2
25668360,25665451,1,25634525,1
25668384,,,,
25668414,,,,
25668421,,,,
25668438,30510821,1,25670295,1
25668445,30397989,4,25666854,3
25668452,25670264,7,25666588,4
25668469,25670301,2,30516120,2
25668490,30400542,2,25263732,1
25668513,25442533,2,25663389,2
25668520,30472846,7,25442502,5
25668537,30293724,7,30510678,6
25668582,30373839,1,25667004,1
25668605,30403659,9,25667042,1
25668612,,,,
25668629,,,,
25668636,,,,
25668674,,,,
25668711,25668704,6,30517264,5
25668759,30403635,5,30519312,4
25668780,30269019,13,30403611,11
25668797,25391381,10,30403987,8
25668803,30403673,7,30269019,5
25668810,30269002,17,25656909,11
25668827,25668810,6,30398283,5
25668834,30269002,11,30269026,6
25668896,30512054,1,30519183,1
25668902,,,,
25668933,25668759,3,25668827,2
25668957,30403628,5,30265103,4
25668971,30269019,18,30515468,16
25668988,30269002,22,30403673,10
25668995,30269019,11,30269033,8
25669008,30269019,2,30403932,2
25669015,30403666,2,30519077,1
25669039,,,,
25669053,21661839,1,,
25669060,30268821,11,30380042,10
25669084,,,,
25669091,,,,
25669107,,,,
25669121,,,,
25669138,25445886,6,30506923,5
25669206,30511989,1,30508187,1
25669213,,,,
25669237,30518827,2,30518407,2
25669275,30265349,1,,
25669282,30380868,18,25633696,15
25669299,,,,
25669312,30380820,2,30515192,1
25669480,30506923,2,30519527,2
25669657,30519039,7,30508163,7
25669664,30377141,9,30515291,6
25669770,,,,
25669794,,,,
25669831,30398344,10,30472907,7
25669848,,,,
25669855,30518797,9,25390193,7
25669862,30293601,4,30472945,4
25669879,30397873,1,,
25669954,24881524,7,24204927,4
25669961,25241716,7,24253055,6
25669978,25661439,5,25389906,5
25669985,30293540,6,30373839,3
25670004,25656985,15,30473256,3
25670059,30516380,20,30398078,16
25670066,25670073,38,30516267,8
25670073,25670066,38,30516267,22
25670080,25664294,20,30520684,16
25670097,25381580,33,30398177,31
25670103,30398061,2,30516373,1
25670110,30519626,5,30398061,4
25670127,25290103,24,25670158,11
25670158,25670127,11,25290103,9
25670196,30397958,20,25664294,12
25670202,25670219,18,25634655,17
25670219,25670202,18,24863629,14
25670226,30397873,23,25664270,22
25670233,25666120,2,25670196,2
25670257,30549685,10,30519398,9
25670264,25241235,9,25442502,8
25670271,25439472,5,25442540,5
25670288,30293687,1,30524347,1
25670295,30518957,9,25664270,9
25670301,25664270,5,25670370,4
25670318,30293731,10,30519435,9
25670325,25670332,25,30519114,16
25670332,25670325,25,30519114,7
25670349,,,,
25670370,30398542,5,25670301,4
25670400,,,,
25670417,30470934,1,,
25670424,30293854,4,30519091,3
25670431,30477216,4,30473881,3
25670448,30398511,2,25672732,2
25670455,30518889,2,30549685,2
25670462,24863995,1,25384178,1
25670479,30470781,1,25669831,1
25670486,30470972,1,30477209,1
25670493,30507074,1,30519695,1
25670509,30508279,1,,
25670516,30519435,2,30519442,1
25670523,30520684,4,30470972,3
25670530,30512115,9,30473690,7
25670547,30473065,1,30293786,1
25670554,30512276,4,30472730,4
25670561,25445817,1,30477018,1
25670578,30265639,2,30403673,1
25670585,30398481,1,25672862,1
25670592,,,,
25670608,30268593,1,30470798,1
25670738,,,,
25670813,,,,
25670851,,,,
25670868,,,,
25670899,,,,
25670905,,,,
25670912,,,,
25670936,,,,
25670943,,,,
25670950,,,,
25670967,,,,
25670974,,,,
25670981,,,,
25670998,,,,
25671001,,,,
25671018,,,,
25671025,,,,
25671032,,,,
25671056,,,,
25671063,,,,
25671070,,,,
25671087,,,,
25671094,,,,
25671117,,,,
25671124,,,,
25671131,,,,
25671148,,,,
25671155,,,,
25671162,,,,
25671179,,,,
25671186,,,,
25671193,,,,
25671209,,,,
25671216,,,,
25671223,,,,
25671230,,,,
25671247,,,,
25671254,,,,
25671261,,,,
25671360,30520165,4,25667226,4
25671377,30265363,1,30373907,1
25671384,30472730,7,30517233,3
25671438,,,,
25671445,,,,
25671674,,,,
25671698,,,,
25671841,25663662,8,30508521,7
25671865,25663662,8,30472709,4
25671919,30566750,12,30566774,8
25671926,30397866,11,25671933,10
25671933,25634327,10,25671926,10
25671940,30519145,8,30519206,7
25671971,30398061,22,30519718,21
